품목명,분쟁유형명,answer
,1) 계량기 고장  계량기 오차과다 등으로 인한 전력량의 과다계량 등 계량 부적정으로 인한 피해,차액환급 또는 차액차감정산 합니다.
,1) 계량기 고장  계량기 오차초과 등 계량 부적정으로 인한 피해,차액환급 또는 차액차감정산 합니다.
도시가스,1) 계량기 고장  계량기 오차초과 등 계량 부적정으로 인한 피해,차액환급 또는 차액차감정산 합니다.
,1) 계약서 미발급,계약일로부터 3개월 이내 계약철회(계약금 및 할부금 환급) 입니다. 
,1) 공연이 취소되거나 관람일이 연기되어 고객이 입장료의 환급을 요구할 때,"공연업자의 귀책사유로 취소된 경우에 입장료 환급 및 입장료의 10% 배상이며, 천재지변 등 불가항력의 경우 입장료 환급입니다.(관람권을 할인 판매한 경우에는 거래가격을 기준으로 하되, 이는 사업자가 입증함)"
각종공연관람,1) 공연이 취소되거나 관람일이 연기되어 고객이 입장료의 환급을 요구할 때,"공연업자의 귀책사유로 취소된 경우에 입장료 환급 및 입장료의 10% 배상이며, 천재지변 등 불가항력의 경우 입장료 환급입니다.(관람권을 할인 판매한 경우에는 거래가격을 기준으로 하되, 이는 사업자가 입증함)"
,1) 구입 후 10일 이내에 문제 제기된 정상적인 사용상태에서 발생한 성능/기능상의 하자(액상 누수  분무량 과다 및 과소 등)로 중요한 수리를 요할 때,제품 교환 또는 구입가 환급 입니다.
,1) 구입 후 10일 이내에 정상적인 사용 상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
TV,1) 구입 후 10일 이내에 정상적인 사용 상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급입니다.
가스보일러,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급입니다.
가습기,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
공기청정기,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
기타(악기guitar),1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급입니다.
김치냉장고,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
냉장고,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
노트북컴퓨터,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
망원경,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
메인보드,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
모형완구,1) 구입 후 10일 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
